,mean_abs_shap
embH_053,0.05764867936988079
embH_115,0.04319748423224575
embH_142,0.041056522181042346
embH_150,0.03444097820350173
embH_188,0.03443708083900291
embN_011,0.023428869519849356
embH_049,0.01936666441096274
embH_229,0.018979217554472603
embH_019,0.01531819587343352
embH_194,0.013902011814307265
embH_003,0.013667711431464148
embH_088,0.01360429395996737
embH_052,0.01238746724159047
embH_020,0.01135782339787652
embH_204,0.011224031321244244
embH_071,0.010746875876613663
embH_206,0.010707772235121364
embH_004,0.010208965928008438
embH_134,0.009792881441708584
embH_168,0.009710041130762204
embN_027,0.008973871682290026
embH_081,0.008199660534495723
embH_207,0.008053273245602722
embH_196,0.007698168556544688
embH_080,0.007387458710105544
embH_126,0.007243606698097524
embN_003,0.007233813367468569
embH_172,0.006802219404328739
embH_155,0.006481057194234968
embN_098,0.0062338590692831665
embH_166,0.00614021939367425
embH_073,0.006126897472485939
embH_164,0.0057135338395257855
embH_211,0.005401355864573759
embH_249,0.005183541316629217
embH_182,0.004825746320530045
embH_228,0.004568284819558083
embH_254,0.004507119439878226
embH_048,0.0043982227424840484
embH_064,0.004322349446160265
embN_100,0.004130876536991022
embH_024,0.004018783443255572
embN_014,0.0038909229261296988
embH_224,0.003827389100696387
embH_086,0.0036496463674871686
embH_133,0.003638097106089083
embH_241,0.003594155125040258
embH_176,0.003450373748601263
embH_096,0.003394175055453139
embH_117,0.0033471619417140466
embH_026,0.0032379306463072906
embN_248,0.00315559529852197
embH_202,0.003041071293833906
embH_179,0.002941554236994722
embN_052,0.002922083251843005
embN_120,0.002918161259062334
embN_125,0.0028904485987306917
embN_045,0.002885598824303496
embH_226,0.0028427160334651294
embH_137,0.002802022280831351
embN_220,0.0027629353097422134
embN_238,0.002708388063934203
embN_060,0.002546828388302557
embN_234,0.002511542102912226
embH_047,0.0025089290660586946
embH_156,0.0023194852529141575
embN_109,0.0023120856250002484
embN_057,0.0023025779521392885
embH_136,0.002287164385761452
embH_112,0.002225923594587513
embH_040,0.0022099280150412854
embH_056,0.002169565023909822
embN_102,0.0021521826143478225
embH_100,0.002127692792206388
embH_161,0.002047609885651052
embN_022,0.0020468541987603986
embH_012,0.0020468179917556275
embH_237,0.0019980751134372186
embH_098,0.0019905893047118223
embH_089,0.0019598362633568922
embH_035,0.0019468096036149346
embH_031,0.0019305667943500325
embH_054,0.001875081636835491
embN_213,0.0017706419715155062
embH_124,0.0017581032934165576
embN_026,0.0017507831680346145
embH_084,0.0017100663448906851
embH_107,0.0017082312897604608
embH_186,0.0016742631655725343
embN_198,0.0016402984112740334
embN_009,0.001604334496939532
embH_248,0.0015671479804708608
embH_057,0.0015559918942102682
embH_030,0.0015269523030925272
embH_075,0.0015167802879277558
embH_058,0.0015039366182748978
embN_028,0.0014961769885722545
embH_018,0.0013922315788972254
embN_042,0.0012873905847020088
embN_151,0.0012510111895800283
embH_236,0.0012359662840487557
embN_041,0.0012287962145756657
embH_163,0.0011918481421462784
embN_189,0.0011792557373196543
embH_121,0.0011522365180053468
embH_158,0.0011507611684817693
embN_251,0.0011479937118482944
embH_085,0.001138743525503699
embH_017,0.001135223354253638
embN_065,0.001127048506099571
embH_178,0.0011246552202950244
embN_007,0.0010897291251831
embN_117,0.0010889171938841837
embN_148,0.0010876114392754706
embN_217,0.0010872798761802905
embH_102,0.001056451301719133
embH_063,0.0010478010927718415
embN_050,0.00098932814194324
embN_158,0.000982731398099156
embH_010,0.000978334989963671
embN_069,0.0009760325669291205
embH_153,0.000973754225439899
embN_159,0.0009601454433347203
embH_097,0.0009578951961245548
embH_160,0.0009457424895730886
embN_244,0.0009409923944878497
embN_192,0.0009292078390959745
embH_025,0.0009203694449490067
embH_029,0.0009182929151516477
embH_008,0.000904969726506749
embH_148,0.0008888429110528717
embH_162,0.0008835990130515122
embH_066,0.0008835914758585475
embH_023,0.0008789148037274135
embN_179,0.0008766153115884003
embN_167,0.0008631417843929869
embN_058,0.0008619999588432838
embN_089,0.0008487718878946104
embH_190,0.0008450062145356287
embH_214,0.0008441264329419253
embN_193,0.0008432292621701804
embN_024,0.0008410996857558772
embN_136,0.00083979737864329
embH_074,0.0008346708375651447
embH_189,0.0008157845086768063
embH_000,0.0008084236515973064
embN_161,0.0008027189157525324
embH_011,0.0007961802491226822
embN_203,0.0007941834166420713
embN_124,0.0007803213197589705
embN_128,0.0007748334693781654
embN_243,0.0007711160140689854
embN_181,0.0007632762722435517
embN_095,0.0007618766459374438
embH_072,0.0007596458382650934
embH_036,0.0007594702539866121
embN_182,0.0007534314196872787
embN_047,0.0007533847388175661
embN_145,0.0007492804414990192
embN_157,0.0007478479547714785
embN_035,0.0007457105480783031
embN_112,0.0007408358210736265
embN_185,0.0007408163219424776
embN_033,0.0007362399807809046
embH_213,0.0007340296986759479
embH_037,0.0007293221264911657
embH_032,0.0007148797838109581
embN_162,0.0007148768059305386
embH_027,0.000710057346038401
embN_032,0.0007084656688626488
embH_059,0.0007078233571557473
embH_094,0.0006958955640778004
embH_185,0.000691372006277194
embN_093,0.0006849986101125987
embN_180,0.0006817131743671907
embN_037,0.0006786047864347027
embH_001,0.0006769954793408616
embN_132,0.0006754854221124729
embN_142,0.0006722511975365907
embN_019,0.0006699582624786912
embH_225,0.0006692252844902426
embN_249,0.000661707332380571
embH_062,0.0006584021775440841
embH_132,0.0006574577078346008
embH_103,0.0006557332317750985
embN_044,0.0006523051599711563
embH_104,0.0006349399912311649
embH_078,0.0006339187675098298
embH_173,0.0006293605950484115
embH_187,0.0006192779072955702
embN_172,0.0006177038038271784
embN_223,0.0006135945339932105
embH_105,0.0006119897196507618
embN_174,0.000608840980708946
embN_232,0.0006010535810109906
embH_014,0.0005947055076396786
embH_038,0.0005937416738996007
embN_088,0.0005868134553026986
embN_225,0.0005849268684561863
embH_015,0.0005808486868023339
embN_063,0.0005806296502139585
embN_001,0.000580259284148478
embN_097,0.0005787909448893033
embN_207,0.0005748073817896914
embH_067,0.0005700190007978213
embH_212,0.0005679515138662732
embN_190,0.0005679041204225712
embN_224,0.0005665304602254105
embN_175,0.0005643442008984304
embN_107,0.0005641192991063867
embN_073,0.0005640231007535015
embH_144,0.0005636222732469352
embH_022,0.0005571363618134822
embH_170,0.0005544342237912464
embH_122,0.0005542550842685374
embH_046,0.0005514903815232728
embN_247,0.0005428597723377835
embN_250,0.0005419480022048673
embN_012,0.0005369221381895893
embN_166,0.0005325921677344067
embN_144,0.0005299170480710789
embN_018,0.0005264176513790054
embN_131,0.0005241658544339497
embN_078,0.0005186836264899882
embN_056,0.0005173361725486144
embH_111,0.0005134519419794974
embN_092,0.0005095118912098868
embN_226,0.0005072740194017685
embN_204,0.000504603155954666
embN_111,0.0005044532726700109
embN_053,0.0005021775901422241
embH_083,0.000501656847201958
embH_198,0.0005013438161015315
embH_095,0.0005008459073958118
embH_051,0.0005006366167232608
embH_082,0.000500212561542304
embN_197,0.0004998466808074693
embN_219,0.0004992225901743193
embN_254,0.0004984799922092204
embN_079,0.000496749036907523
embH_123,0.0004967010700464392
embN_168,0.0004953214864508224
embH_255,0.0004949929782743966
embH_119,0.0004947631374973148
embN_086,0.000492209907264531
embN_134,0.0004893354784007825
embN_048,0.00048735496449807
embH_238,0.0004859190811069956
embN_236,0.0004845341521377093
embH_175,0.0004840032320587471
embN_075,0.0004819969187500474
embN_123,0.00048166373960074747
embN_240,0.000476026685204336
embN_173,0.0004749869348083192
embH_243,0.0004701965004395575
embH_242,0.0004653741418066281
embN_116,0.00046424803507413934
embN_141,0.0004633498366348411
embH_028,0.0004605609825222791
embH_118,0.00045905679262937544
embH_041,0.00045888140690686705
embH_125,0.0004588544004260862
embN_230,0.00045795993441746433
embH_146,0.0004570026944054457
embN_255,0.00044990382185394143
embH_183,0.00044568214222005705
embN_115,0.00043910890843184213
embH_061,0.0004390298242877039
embN_253,0.0004351128248334565
embN_016,0.00043334009509302725
embN_209,0.0004324988665833373
embH_043,0.0004318417099439708
embN_214,0.0004301769708767243
embN_087,0.00042980506444759056
embN_074,0.00042834908540288
embN_039,0.00042830087788748054
embN_163,0.0004275005548405025
embN_071,0.000426337319433514
embN_188,0.00042625314067072634
embN_121,0.0004260339867558796
embN_104,0.00041742643915566375
embN_119,0.00041401229500343575
embH_147,0.0004137206772022971
embH_092,0.0004129640485314614
embN_150,0.00041240061749518817
embN_010,0.0004091248648238445
embN_030,0.00040891204380199555
embH_151,0.000406761040237115
embN_064,0.00040607749796484153
embH_110,0.00040512564330506985
embN_129,0.0004037101024318644
embH_009,0.00040368720926433406
embH_221,0.0004036163804747248
embH_069,0.0004031720945852638
embN_034,0.00039963067540019627
embN_171,0.000397052341405957
embH_007,0.0003958709636435344
embH_245,0.0003936149369083277
embN_040,0.0003928766208995636
embH_106,0.0003928022361369978
embH_109,0.00039229101303991953
embN_017,0.0003921119418580751
embH_021,0.00039155730758107005
embH_079,0.00039015542253640294
embH_193,0.00038968538263952024
embH_005,0.00038760660430841795
embN_245,0.00038267082952036743
embN_126,0.00038232136479041866
embH_013,0.0003807271828422412
embH_129,0.00038061883654079713
embN_081,0.00037909584875229883
embH_140,0.0003782715435311792
embH_065,0.0003762037734577776
embH_091,0.00036886981401727787
embH_244,0.00036777024534703925
embH_016,0.0003669245290600768
embH_251,0.0003598355265628545
embH_087,0.00035938720875654636
embH_034,0.00035810737810311515
embN_029,0.00035681787582381137
embH_239,0.0003537208652842442
embH_205,0.0003524174431487091
embH_219,0.0003502452352812086
embH_068,0.00034792088632265453
embN_196,0.0003473839004201481
embN_108,0.0003447028886785375
embN_138,0.0003446473470166306
embH_077,0.00033993277224985037
embH_157,0.00033847319024578695
embH_253,0.00033578417013844125
embN_154,0.0003334513068918717
embN_038,0.0003283779200374663
embH_181,0.00032586296779063236
embN_036,0.00032584014438601864
embH_033,0.00032407434118785015
embH_099,0.00032063450966958505
embN_228,0.0003196227117060513
embH_070,0.00031945054465701907
embN_004,0.00031928439107897983
embN_177,0.0003190490458010372
embN_239,0.00031761833015782814
embH_108,0.00031690605292874536
embH_045,0.00031671529517151724
embH_203,0.00031577009225505466
embH_093,0.000315572349366937
embN_072,0.00031485503655873895
embN_206,0.00031456382878250266
embN_077,0.0003142643332757667
embN_229,0.0003139216610135123
embH_139,0.0003097585501489154
embN_231,0.00030664166929429633
embH_234,0.000305809441547134
embN_227,0.00030428202131192717
embN_200,0.00030403982760946965
embN_080,0.00030243377227964844
embN_205,0.00030074482112313735
embH_152,0.000299995814164099
embN_051,0.00029679524325211884
embN_164,0.00029337729449750624
embN_015,0.00029301288848680853
embH_227,0.0002927520836383447
embH_191,0.00029147127568817993
embN_090,0.0002904015948034183
embN_031,0.00028993733374260456
embH_235,0.0002897302752123053
embN_076,0.00028895041305463276
embN_054,0.0002856001195423226
embH_055,0.00028494346204776925
embN_187,0.00027980183688016113
embN_067,0.0002776910167879988
embN_194,0.0002768121249349658
embN_002,0.00027432958937998955
embN_130,0.000272613455728236
embH_195,0.00027224596953381354
embN_215,0.0002713621831692861
embN_183,0.0002699944766054386
embN_000,0.00026954644546340446
embN_210,0.00026791301846988355
embN_178,0.00026785776406506266
embN_202,0.0002676527006994009
embH_231,0.0002664659844023146
embN_055,0.00026492273019087566
embN_091,0.00026468227767386304
embN_153,0.00026394321330190976
embN_156,0.000263873309119911
embN_021,0.0002633908172055931
embN_139,0.00026287670817872887
embH_006,0.00026271051092773267
embN_083,0.0002624853984393427
embH_177,0.00026233858321240565
embH_233,0.0002620689438492924
embN_103,0.000261946613031598
embN_005,0.0002606425070858562
embN_062,0.000257454622861024
embH_101,0.000256082253113727
embN_184,0.0002551493697180268
embH_223,0.00025475309699630945
embN_068,0.0002537423926934761
embN_006,0.0002510601171242704
embN_096,0.00025070603044911963
embH_076,0.000250212896689316
embH_002,0.0002478518166597385
embH_201,0.0002472698334774
embN_110,0.0002463093169732415
embN_201,0.00024614987584351423
embN_170,0.00024145961988889813
embN_099,0.00024017813003182406
embN_043,0.0002399942957336722
embN_113,0.0002392562360487034
embH_252,0.0002388629962403941
embH_246,0.00023781955649552884
embN_211,0.0002338720509429528
embH_154,0.00023346699538566763
embH_114,0.00023147411730181492
embH_042,0.00022944770109052355
embN_242,0.0002291532162129537
embH_138,0.0002287256503497162
embN_059,0.00022809615453986954
embN_008,0.0002278595085832064
embH_250,0.00022571958636046784
embH_120,0.00022229982531206426
embN_046,0.00022132330611079044
embH_222,0.0002206198187363244
embH_184,0.0002195301866019395
embH_210,0.00021832214840125945
embN_085,0.00021763172832681675
embH_044,0.00021471215891124873
embN_155,0.00021408795197461512
embH_240,0.00021254235145431522
embH_169,0.00021233999949670182
embH_192,0.00021222240433923527
embN_208,0.00021215269349472647
embN_118,0.00021178964399423352
embH_060,0.00021052446712952798
embH_039,0.0002097575496576044
embN_066,0.00020864542512217635
embN_216,0.00020840080223642892
embH_200,0.00020813445466192636
embN_191,0.0002069827363506738
embN_082,0.00020393146160058121
embN_105,0.00020367146406874136
embH_127,0.00020299193201523007
embN_023,0.0002024342200065511
embH_141,0.00020141921535167442
embN_146,0.0002008938148980325
embH_130,0.00019926971470402856
embN_152,0.00019919334469486923
embH_174,0.000197371208477959
embN_135,0.00019685376560691636
embN_195,0.00019215204027170225
embN_094,0.0001920903181412013
embN_114,0.00019102699643289158
embH_232,0.0001905382345840821
embN_222,0.00019049665991597954
embH_171,0.00018805661802999966
embH_050,0.00018732280748213798
embH_217,0.00018538020062604983
embN_070,0.0001842728706084626
embN_252,0.0001838940206010007
embN_013,0.00018269168542307766
embH_145,0.00018184085256547268
embN_169,0.0001772446303826935
embN_137,0.00017716198200343894
embN_218,0.00017687294600102026
embH_216,0.0001747153304105969
embN_165,0.00017127137511940585
embN_147,0.00017019030439114081
embN_049,0.00016991704051509178
embH_180,0.00016943126930788442
embN_246,0.0001693800987856612
embH_215,0.00016911378553167866
embN_020,0.00016807306480686205
embN_061,0.00016719987723068196
embH_247,0.0001669882190268258
embH_149,0.0001656954755721306
embN_160,0.00016266361846854318
embH_090,0.00016260777118676042
embN_025,0.00015920040810118983
embN_233,0.00015639211543325485
embN_127,0.00015592731861507536
embN_212,0.00015139013303761117
embH_113,0.0001486619836664453
embN_122,0.00014790613190237317
embN_237,0.000147852804388172
embN_199,0.00014756850441510245
embN_235,0.00014695044651669267
embN_106,0.00014641103744919687
embH_165,0.0001438964870346052
embH_131,0.00014272339751750026
embN_101,0.00014222843565865075
embN_241,0.00014188031177489054
embN_221,0.0001416388537157948
embN_140,0.00014120251898615347
embH_116,0.0001409709369457529
embN_133,0.00014080600683547852
embH_209,0.0001407938428222002
embN_143,0.00013943092982178092
embH_218,0.00013636130873627428
embN_176,0.00013403790826034637
embN_149,0.00013191902826418636
embH_135,0.0001317515558003717
embH_197,0.00013159781871029165
embH_143,0.00013083430179125372
embN_084,0.00013079258870022633
embN_186,0.00012881206015500458
embH_167,0.00012794346658174803
embH_208,0.00012765430356299085
embH_159,0.00012381744140905725
embH_199,0.00011934025202162322
embH_230,0.00011693778482885613
embH_128,0.00011040579149818799
embH_220,0.00010974763236157587
